"","year","week","variable","value"
"515",2008,48,"S2",7
"516",2008,49,"S2",8
"517",2008,50,"S2",10
"518",2008,51,"S2",17
"519",2008,52,"S2",4
"520",2008,53,"S2",0
"521",2009,1,"S2",20
"522",2009,2,"S2",11
"523",2009,3,"S2",16
"524",2009,4,"S2",19
"525",2009,5,"S2",16
"526",2009,6,"S2",16
"527",2009,7,"S2",5
"528",2009,8,"S2",15
"529",2009,9,"S2",12
"530",2009,10,"S2",15
"531",2009,11,"S2",11
"532",2009,12,"S2",9
"533",2009,13,"S2",11
"534",2009,14,"S2",9
"535",2009,15,"S2",17
"536",2009,16,"S2",13
"537",2009,17,"S2",11
"538",2009,18,"S2",12
"539",2009,19,"S2",12
"540",2009,20,"S2",14
"541",2009,21,"S2",9
"542",2009,22,"S2",5
"543",2009,23,"S2",11
"544",2009,24,"S2",3
"545",2009,25,"S2",7
"546",2009,26,"S2",7
"547",2009,27,"S2",13
"548",2009,28,"S2",7
"549",2009,29,"S2",6
"550",2009,30,"S2",11
"551",2009,31,"S2",9
"552",2009,32,"S2",10
"553",2009,33,"S2",11
"554",2009,34,"S2",9
"555",2009,35,"S2",7
"556",2009,36,"S2",12
"557",2009,37,"S2",8
"558",2009,38,"S2",10
"559",2009,39,"S2",16
"560",2009,40,"S2",11
"561",2009,41,"S2",12
"562",2009,42,"S2",13
"563",2009,43,"S2",9
"564",2009,44,"S2",18
"565",2009,45,"S2",9
"566",2009,46,"S2",17
"567",2009,47,"S2",13
"568",2009,48,"S2",12
"569",2009,49,"S2",9
"570",2009,50,"S2",11
"571",2009,51,"S2",4
"572",2009,52,"S2",21
"573",2009,53,"S2",0
"574",2010,1,"S2",10
"575",2010,2,"S2",12
"576",2010,3,"S2",10
"577",2010,4,"S2",15
"578",2010,5,"S2",19
"579",2010,6,"S2",11
"580",2010,7,"S2",14
"581",2010,8,"S2",16
"582",2010,9,"S2",5
"583",2010,10,"S2",14
"584",2010,11,"S2",14
"585",2010,12,"S2",12
"586",2010,13,"S2",20
"587",2010,14,"S2",8
"588",2010,15,"S2",10
"589",2010,16,"S2",11
"590",2010,17,"S2",7
"591",2010,18,"S2",18
"592",2010,19,"S2",12
"593",2010,20,"S2",6
"594",2010,21,"S2",11
"595",2010,22,"S2",7
"596",2010,23,"S2",8
"597",2010,24,"S2",13
"598",2010,25,"S2",19
"599",2010,26,"S2",7
"600",2010,27,"S2",6
"601",2010,28,"S2",9
"602",2010,29,"S2",5
"603",2010,30,"S2",12
"604",2010,31,"S2",4
"605",2010,32,"S2",4
"606",2010,33,"S2",7
"607",2010,34,"S2",2
"608",2010,35,"S2",14
"609",2010,36,"S2",8
"610",2010,37,"S2",9
"611",2010,38,"S2",11
"612",2010,39,"S2",3
"613",2010,40,"S2",9
"614",2010,41,"S2",12
"615",2010,42,"S2",18
"616",2010,43,"S2",20
"617",2010,44,"S2",16
"618",2010,45,"S2",11
"619",2010,46,"S2",7
"620",2010,47,"S2",10
"621",2010,48,"S2",0
"622",2007,1,"S3",54
"623",2007,2,"S3",83
"624",2007,3,"S3",82
"625",2007,4,"S3",72
"626",2007,5,"S3",95
"627",2007,6,"S3",72
"628",2007,7,"S3",72
"629",2007,8,"S3",63
"630",2007,9,"S3",25
"631",2007,10,"S3",66
"632",2007,11,"S3",61
"633",2007,12,"S3",82
"634",2007,13,"S3",83
"635",2007,14,"S3",68
"636",2007,15,"S3",22
"637",2007,16,"S3",46
"638",2007,17,"S3",33
"639",2007,18,"S3",47
"640",2007,19,"S3",57
"641",2007,20,"S3",50
"642",2007,21,"S3",52
"643",2007,22,"S3",49
"644",2007,23,"S3",51
"645",2007,24,"S3",46
"646",2007,25,"S3",27
"647",2007,26,"S3",47
"648",2007,27,"S3",37
"649",2007,28,"S3",42
"650",2007,29,"S3",33
"651",2007,30,"S3",31
"652",2007,31,"S3",47
"653",2007,32,"S3",61
"654",2007,33,"S3",50
"655",2007,34,"S3",45
"656",2007,35,"S3",48
"657",2007,36,"S3",53
"658",2007,37,"S3",45
"659",2007,38,"S3",51
"660",2007,39,"S3",59
"661",2007,40,"S3",62
"662",2007,41,"S3",53
"663",2007,42,"S3",69
"664",2007,43,"S3",57
"665",2007,44,"S3",39
"666",2007,45,"S3",65
"667",2007,46,"S3",84
"668",2007,47,"S3",73
"669",2007,48,"S3",83
"670",2007,49,"S3",73
"671",2007,50,"S3",78
"672",2007,51,"S3",84
"673",2007,52,"S3",85
"674",2007,53,"S3",14
"675",2008,1,"S3",72
"676",2008,2,"S3",67
"677",2008,3,"S3",71
"678",2008,4,"S3",74
"679",2008,5,"S3",68
"680",2008,6,"S3",69
"681",2008,7,"S3",70
"682",2008,8,"S3",61
"683",2008,9,"S3",22
"684",2008,10,"S3",52
"685",2008,11,"S3",70
"686",2008,12,"S3",72
"687",2008,13,"S3",78
"688",2008,14,"S3",73
"689",2008,15,"S3",87
"690",2008,16,"S3",73
"691",2008,17,"S3",46
"692",2008,18,"S3",51
"693",2008,19,"S3",74
"694",2008,20,"S3",62
"695",2008,21,"S3",71
"696",2008,22,"S3",68
"697",2008,23,"S3",65
"698",2008,24,"S3",67
"699",2008,25,"S3",80
"700",2008,26,"S3",61
"701",2008,27,"S3",54
"702",2008,28,"S3",53
"703",2008,29,"S3",53
"704",2008,30,"S3",47
"705",2008,31,"S3",37
"706",2008,32,"S3",19
"707",2008,33,"S3",12
"708",2008,34,"S3",11
"709",2008,35,"S3",30
"710",2008,36,"S3",62
"711",2008,37,"S3",63
"712",2008,38,"S3",69
"713",2008,39,"S3",72
"714",2008,40,"S3",65
"715",2008,41,"S3",73
"716",2008,42,"S3",65
"717",2008,43,"S3",58
"718",2008,44,"S3",29
"719",2008,45,"S3",60
"720",2008,46,"S3",75
"721",2008,47,"S3",70
"722",2008,48,"S3",77
"723",2008,49,"S3",78
"724",2008,50,"S3",68
"725",2008,51,"S3",83
"726",2008,52,"S3",50
"727",2008,53,"S3",19
"728",2009,1,"S3",59
"729",2009,2,"S3",76
"730",2009,3,"S3",87
"731",2009,4,"S3",71
"732",2009,5,"S3",86
"733",2009,6,"S3",92
"734",2009,7,"S3",69
"735",2009,8,"S3",56
"736",2009,9,"S3",67
"737",2009,10,"S3",79
"738",2009,11,"S3",84
"739",2009,12,"S3",66
"740",2009,13,"S3",70
"741",2009,14,"S3",72
"742",2009,15,"S3",79
"743",2009,16,"S3",67
"744",2009,17,"S3",67
"745",2009,18,"S3",75
"746",2009,19,"S3",68
"747",2009,20,"S3",73
"748",2009,21,"S3",75
"749",2009,22,"S3",67
"750",2009,23,"S3",65
"751",2009,24,"S3",44
"752",2009,25,"S3",68
"753",2009,26,"S3",62
"754",2009,27,"S3",52
"755",2009,28,"S3",40
"756",2009,29,"S3",38
"757",2009,30,"S3",38
"758",2009,31,"S3",32
"759",2009,32,"S3",35
"760",2009,33,"S3",40
"761",2009,34,"S3",52
"762",2009,35,"S3",60
"763",2009,36,"S3",60
"764",2009,37,"S3",72
"765",2009,38,"S3",78
"766",2009,39,"S3",71
"767",2009,40,"S3",70
"768",2009,41,"S3",75
"769",2009,42,"S3",78
"770",2009,43,"S3",76
"771",2009,44,"S3",70
"772",2009,45,"S3",77
"773",2009,46,"S3",82
"774",2009,47,"S3",80
"775",2009,48,"S3",80
"776",2009,49,"S3",78
"777",2009,50,"S3",81
"778",2009,51,"S3",86
"779",2009,52,"S3",96
"780",2009,53,"S3",19
"781",2010,1,"S3",72
"782",2010,2,"S3",63
"783",2010,3,"S3",106
"784",2010,4,"S3",107
"785",2010,5,"S3",130
"786",2010,6,"S3",103
"787",2010,7,"S3",101
"788",2010,8,"S3",94
"789",2010,9,"S3",53
"790",2010,10,"S3",71
"791",2010,11,"S3",88
"792",2010,12,"S3",71
"793",2010,13,"S3",88
"794",2010,14,"S3",86
"795",2010,15,"S3",78
"796",2010,16,"S3",93
"797",2010,17,"S3",57
"798",2010,18,"S3",74
"799",2010,19,"S3",85
"800",2010,20,"S3",89
"801",2010,21,"S3",74
"802",2010,22,"S3",81
"803",2010,23,"S3",73
"804",2010,24,"S3",76
"805",2010,25,"S3",73
"806",2010,26,"S3",60
"807",2010,27,"S3",49
"808",2010,28,"S3",52
"809",2010,29,"S3",37
"810",2010,30,"S3",39
"811",2010,31,"S3",29
"812",2010,32,"S3",28
"813",2010,33,"S3",27
"814",2010,34,"S3",26
"815",2010,35,"S3",84
"816",2010,36,"S3",67
"817",2010,37,"S3",62
"818",2010,38,"S3",72
"819",2010,39,"S3",31
"820",2010,40,"S3",74
"821",2010,41,"S3",83
"822",2010,42,"S3",66
"823",2010,43,"S3",68
"824",2010,44,"S3",56
"825",2010,45,"S3",74
"826",2010,46,"S3",68
"827",2010,47,"S3",63
"828",2010,48,"S3",10
"829",2007,1,"other",172
"830",2007,2,"other",154
"831",2007,3,"other",150
"832",2007,4,"other",156
"833",2007,5,"other",162
"834",2007,6,"other",147
"835",2007,7,"other",149
"836",2007,8,"other",135
"837",2007,9,"other",56
"838",2007,10,"other",135
"839",2007,11,"other",117
"840",2007,12,"other",138
"841",2007,13,"other",115
"842",2007,14,"other",109
"843",2007,15,"other",54
"844",2007,16,"other",80
"845",2007,17,"other",52
"846",2007,18,"other",76
"847",2007,19,"other",74
"848",2007,20,"other",85
"849",2007,21,"other",79
"850",2007,22,"other",81
"851",2007,23,"other",74
"852",2007,24,"other",68
"853",2007,25,"other",47
"854",2007,26,"other",62
"855",2007,27,"other",56
"856",2007,28,"other",55
"857",2007,29,"other",55
"858",2007,30,"other",52
"859",2007,31,"other",52
"860",2007,32,"other",57
"861",2007,33,"other",53
"862",2007,34,"other",63
"863",2007,35,"other",73
"864",2007,36,"other",67
"865",2007,37,"other",77
"866",2007,38,"other",71
"867",2007,39,"other",100
"868",2007,40,"other",96
"869",2007,41,"other",107
"870",2007,42,"other",104
"871",2007,43,"other",106
"872",2007,44,"other",55
"873",2007,45,"other",133
"874",2007,46,"other",133
"875",2007,47,"other",120
"876",2007,48,"other",142
"877",2007,49,"other",141
"878",2007,50,"other",146
"879",2007,51,"other",146
"880",2007,52,"other",184
"881",2007,53,"other",19
"882",2008,1,"other",134
"883",2008,2,"other",155
"884",2008,3,"other",138
"885",2008,4,"other",154
"886",2008,5,"other",146
"887",2008,6,"other",131
"888",2008,7,"other",128
"889",2008,8,"other",104
"890",2008,9,"other",69
"891",2008,10,"other",140
"892",2008,11,"other",112
"893",2008,12,"other",107
"894",2008,13,"other",105
"895",2008,14,"other",97
"896",2008,15,"other",106
"897",2008,16,"other",92
"898",2008,17,"other",70
"899",2008,18,"other",83
"900",2008,19,"other",96
"901",2008,20,"other",81
"902",2008,21,"other",75
"903",2008,22,"other",76
"904",2008,23,"other",73
"905",2008,24,"other",70
"906",2008,25,"other",62
"907",2008,26,"other",60
"908",2008,27,"other",60
"909",2008,28,"other",63
"910",2008,29,"other",64
"911",2008,30,"other",52
"912",2008,31,"other",58
"913",2008,32,"other",24
"914",2008,33,"other",17
"915",2008,34,"other",17
"916",2008,35,"other",28
"917",2008,36,"other",65
"918",2008,37,"other",81
"919",2008,38,"other",74
"920",2008,39,"other",86
"921",2008,40,"other",99
"922",2008,41,"other",103
"923",2008,42,"other",121
"924",2008,43,"other",92
"925",2008,44,"other",96
"926",2008,45,"other",138
"927",2008,46,"other",139
"928",2008,47,"other",160
"929",2008,48,"other",149
"930",2008,49,"other",140
"931",2008,50,"other",125
"932",2008,51,"other",129
"933",2008,52,"other",115
"934",2008,53,"other",30
"935",2009,1,"other",122
"936",2009,2,"other",115
"937",2009,3,"other",145
"938",2009,4,"other",129
"939",2009,5,"other",127
"940",2009,6,"other",128
"941",2009,7,"other",94
"942",2009,8,"other",114
"943",2009,9,"other",111
"944",2009,10,"other",112
"945",2009,11,"other",98
"946",2009,12,"other",96
"947",2009,13,"other",111
"948",2009,14,"other",91
"949",2009,15,"other",95
"950",2009,16,"other",99
"951",2009,17,"other",93
"952",2009,18,"other",88
"953",2009,19,"other",84
"954",2009,20,"other",81
"955",2009,21,"other",72
"956",2009,22,"other",66
"957",2009,23,"other",66
"958",2009,24,"other",41
"959",2009,25,"other",51
"960",2009,26,"other",61
"961",2009,27,"other",60
"962",2009,28,"other",43
"963",2009,29,"other",51
"964",2009,30,"other",36
"965",2009,31,"other",33
"966",2009,32,"other",41
"967",2009,33,"other",54
"968",2009,34,"other",57
"969",2009,35,"other",66
"970",2009,36,"other",64
"971",2009,37,"other",79
"972",2009,38,"other",85
"973",2009,39,"other",70
"974",2009,40,"other",81
"975",2009,41,"other",88
"976",2009,42,"other",104
"977",2009,43,"other",95
"978",2009,44,"other",114
"979",2009,45,"other",102
"980",2009,46,"other",108
"981",2009,47,"other",123
"982",2009,48,"other",105
"983",2009,49,"other",124
"984",2009,50,"other",111
"985",2009,51,"other",105
"986",2009,52,"other",127
"987",2009,53,"other",17
"988",2010,1,"other",107
"989",2010,2,"other",83
"990",2010,3,"other",123
"991",2010,4,"other",124
"992",2010,5,"other",104
"993",2010,6,"other",121
"994",2010,7,"other",100
"995",2010,8,"other",97
"996",2010,9,"other",73
"997",2010,10,"other",95
"998",2010,11,"other",95
"999",2010,12,"other",75
"1000",2010,13,"other",92
"1001",2010,14,"other",88
"1002",2010,15,"other",74
"1003",2010,16,"other",74
"1004",2010,17,"other",73
"1005",2010,18,"other",75
"1006",2010,19,"other",81
"1007",2010,20,"other",83
"1008",2010,21,"other",75
"1009",2010,22,"other",67
"1010",2010,23,"other",64
"1011",2010,24,"other",69
"1012",2010,25,"other",62
"1013",2010,26,"other",73
"1014",2010,27,"other",73
"1015",2010,28,"other",81
"1016",2010,29,"other",61
"1017",2010,30,"other",54
"1018",2010,31,"other",32
"1019",2010,32,"other",30
"1020",2010,33,"other",35
"1021",2010,34,"other",26
"1022",2010,35,"other",73
"1023",2010,36,"other",77
"1024",2010,37,"other",75
"1025",2010,38,"other",65
"1026",2010,39,"other",42
"1027",2010,40,"other",102
"1028",2010,41,"other",102
"1029",2010,42,"other",98
"1030",2010,43,"other",90
"1031",2010,44,"other",104
"1032",2010,45,"other",115
"1033",2010,46,"other",118
"1034",2010,47,"other",106
"1035",2010,48,"other",13
