,year,week,Global,S1,S2,S3,other,type
1,2007,1,249,6,18,54,172,Historical
2,2007,2,270,13,19,83,154,Historical
3,2007,3,275,23,20,82,150,Historical
4,2007,4,255,11,15,72,156,Historical
5,2007,5,286,12,18,95,162,Historical
6,2007,6,251,15,17,72,147,Historical
7,2007,7,256,15,20,72,149,Historical
8,2007,8,222,9,16,63,135,Historical
9,2007,9,93,1,11,25,56,Historical
10,2007,10,252,19,31,66,135,Historical
11,2007,11,217,16,23,61,117,Historical
12,2007,12,257,17,21,82,138,Historical
13,2007,13,236,12,26,83,115,Historical
14,2007,14,204,11,16,68,109,Historical
15,2007,15,84,3,5,22,54,Historical
16,2007,16,149,17,7,46,80,Historical
17,2007,17,96,6,5,33,52,Historical
18,2007,18,147,16,9,47,76,Historical
19,2007,19,164,16,17,57,74,Historical
20,2007,20,172,20,17,50,85,Historical
21,2007,21,169,18,21,52,79,Historical
22,2007,22,165,17,18,49,81,Historical
23,2007,23,160,18,17,51,74,Historical
24,2007,24,148,16,18,46,68,Historical
25,2007,25,86,4,9,27,47,Historical
26,2007,26,141,14,18,47,62,Historical
27,2007,27,127,12,21,37,56,Historical
28,2007,28,115,8,9,42,55,Historical
29,2007,29,109,13,8,33,55,Historical
30,2007,30,106,5,17,31,52,Historical
31,2007,31,106,7,0,47,52,Historical
32,2007,32,136,5,13,61,57,Historical
33,2007,33,117,4,11,50,53,Historical
34,2007,34,140,14,19,45,63,Historical
35,2007,35,147,15,10,48,73,Historical
36,2007,36,154,13,21,53,67,Historical
37,2007,37,140,7,12,45,77,Historical
38,2007,38,150,16,12,51,71,Historical
39,2007,39,197,10,28,59,100,Historical
40,2007,40,200,13,29,62,96,Historical
41,2007,41,193,11,21,53,107,Historical
42,2007,42,200,11,17,69,104,Historical
43,2007,43,184,8,14,57,106,Historical
44,2007,44,109,1,14,39,55,Historical
45,2007,45,227,16,12,65,133,Historical
46,2007,46,250,14,19,84,133,Historical
47,2007,47,222,13,16,73,120,Historical
48,2007,48,269,17,28,83,142,Historical
49,2007,49,245,16,15,73,141,Historical
50,2007,50,250,11,16,78,146,Historical
51,2007,51,259,13,17,84,146,Historical
52,2007,52,317,23,25,85,184,Historical
53,2007,53,37,0,3,14,19,Historical
54,2008,1,232,10,15,72,134,Historical
55,2008,2,253,24,8,67,155,Historical
56,2008,3,236,8,18,71,138,Historical
57,2008,4,260,17,15,74,154,Historical
58,2008,5,241,13,14,68,146,Historical
59,2008,6,226,10,16,69,131,Historical
60,2008,7,222,11,12,70,128,Historical
61,2008,8,189,9,15,61,104,Historical
62,2008,9,104,0,13,22,69,Historical
63,2008,10,225,16,17,52,140,Historical
64,2008,11,216,12,21,70,112,Historical
65,2008,12,215,17,18,72,107,Historical
66,2008,13,215,18,14,78,105,Historical
67,2008,14,196,11,16,73,97,Historical
68,2008,15,231,17,21,87,106,Historical
69,2008,16,194,11,18,73,92,Historical
70,2008,17,131,5,10,46,70,Historical
71,2008,18,155,10,11,51,83,Historical
72,2008,19,198,18,10,74,96,Historical
73,2008,20,173,11,18,62,81,Historical
74,2008,21,171,11,15,71,75,Historical
75,2008,22,165,9,13,68,76,Historical
76,2008,23,171,14,19,65,73,Historical
77,2008,24,172,17,18,67,70,Historical
78,2008,25,181,23,16,80,62,Historical
79,2008,26,143,12,10,61,60,Historical
80,2008,27,144,14,17,54,60,Historical
81,2008,28,138,12,10,53,63,Historical
82,2008,29,138,11,9,53,64,Historical
83,2008,30,107,4,4,47,52,Historical
84,2008,31,112,7,11,37,58,Historical
85,2008,32,48,1,3,19,24,Historical
86,2008,33,32,0,3,12,17,Historical
87,2008,34,31,0,3,11,17,Historical
88,2008,35,68,3,6,30,28,Historical
89,2008,36,157,16,14,62,65,Historical
90,2008,37,163,11,8,63,81,Historical
91,2008,38,166,13,10,69,74,Historical
92,2008,39,181,12,11,72,86,Historical
93,2008,40,188,13,11,65,99,Historical
94,2008,41,202,9,18,73,103,Historical
95,2008,42,218,9,23,65,121,Historical
96,2008,43,171,11,10,58,92,Historical
97,2008,44,132,4,2,29,96,Historical
98,2008,45,238,18,22,60,138,Historical
99,2008,46,240,14,12,75,139,Historical
100,2008,47,255,11,14,70,160,Historical
101,2008,48,249,15,7,77,149,Historical
102,2008,49,237,11,8,78,140,Historical
103,2008,50,216,13,10,68,125,Historical
104,2008,51,240,11,17,83,129,Historical
105,2008,52,174,6,4,50,115,Historical
106,2008,53,53,3,0,19,30,Historical
107,2009,1,216,15,20,59,122,Historical
108,2009,2,217,15,11,76,115,Historical
109,2009,3,266,19,16,87,145,Historical
110,2009,4,234,15,19,71,129,Historical
111,2009,5,245,16,16,86,127,Historical
112,2009,6,255,20,16,92,128,Historical
113,2009,7,175,7,5,69,94,Historical
114,2009,8,198,12,15,56,114,Historical
115,2009,9,208,18,12,67,111,Historical
116,2009,10,220,15,15,79,112,Historical
117,2009,11,202,9,11,84,98,Historical
118,2009,12,185,14,9,66,96,Historical
119,2009,13,206,13,11,70,111,Historical
120,2009,14,183,12,9,72,91,Historical
121,2009,15,211,20,17,79,95,Historical
122,2009,16,188,9,13,67,99,Historical
123,2009,17,181,10,11,67,93,Historical
124,2009,18,185,10,12,75,88,Historical
125,2009,19,175,11,12,68,84,Historical
126,2009,20,179,11,14,73,81,Historical
127,2009,21,162,6,9,75,72,Historical
128,2009,22,149,10,5,67,66,Historical
129,2009,23,151,9,11,65,66,Historical
130,2009,24,95,6,3,44,41,Historical
131,2009,25,131,6,7,68,51,Historical
132,2009,26,137,8,7,62,61,Historical
133,2009,27,134,9,13,52,60,Historical
134,2009,28,94,5,7,40,43,Historical
135,2009,29,95,1,6,38,51,Historical
136,2009,30,86,2,11,38,36,Historical
137,2009,31,75,1,9,32,33,Historical
138,2009,32,91,4,10,35,41,Historical
139,2009,33,114,10,11,40,54,Historical
140,2009,34,131,14,9,52,57,Historical
141,2009,35,140,7,7,60,66,Historical
142,2009,36,147,11,12,60,64,Historical
143,2009,37,179,20,8,72,79,Historical
144,2009,38,184,12,10,78,85,Historical
145,2009,39,163,7,16,71,70,Historical
146,2009,40,172,10,11,70,81,Historical
147,2009,41,190,15,12,75,88,Historical
148,2009,42,206,12,13,78,104,Historical
149,2009,43,195,14,9,76,95,Historical
150,2009,44,213,11,18,70,114,Historical
151,2009,45,201,13,9,77,102,Historical
152,2009,46,223,17,17,82,108,Historical
153,2009,47,233,17,13,80,123,Historical
154,2009,48,206,9,12,80,105,Historical
155,2009,49,225,13,9,78,124,Historical
156,2009,50,215,13,11,81,111,Historical
157,2009,51,203,8,4,86,105,Historical
158,2009,52,267,23,21,96,127,Historical
159,2009,53,37,0,0,19,17,Historical
160,2010,1,200,12,10,72,107,Historical
161,2010,2,168,10,12,63,83,Historical
162,2010,3,251,12,10,106,123,Historical
163,2010,4,259,13,15,107,124,Historical
164,2010,5,263,11,19,130,104,Historical
165,2010,6,246,12,11,103,121,Historical
166,2010,7,227,13,14,101,100,Historical
167,2010,8,223,15,16,94,97,Historical
168,2010,9,138,7,5,53,73,Historical
169,2010,10,190,9,14,71,95,Historical
170,2010,11,208,11,14,88,95,Historical
171,2010,12,164,7,12,71,75,Historical
172,2010,13,207,8,20,88,92,Historical
173,2010,14,189,7,8,86,88,Historical
174,2010,15,175,13,10,78,74,Historical
175,2010,16,186,8,11,93,74,Historical
176,2010,17,142,5,7,57,73,Historical
177,2010,18,178,10,18,74,75,Historical
178,2010,19,190,12,12,85,81,Historical
179,2010,20,190,11,6,89,83,Historical
180,2010,21,169,8,11,74,75,Historical
181,2010,22,168,13,7,81,67,Historical
182,2010,23,172,26,8,73,64,Historical
183,2010,24,173,14,13,76,69,Historical
184,2010,25,169,16,19,73,62,Historical
185,2010,26,147,7,7,60,73,Historical
186,2010,27,133,4,6,49,73,Historical
187,2010,28,149,8,9,52,81,Historical
188,2010,29,105,2,5,37,61,Historical
189,2010,30,108,3,12,39,54,Historical
190,2010,31,65,0,4,29,32,Historical
191,2010,32,62,0,4,28,30,Historical
192,2010,33,71,2,7,27,35,Historical
193,2010,34,55,1,2,26,26,Historical
194,2010,35,183,12,14,84,73,Historical
195,2010,36,164,12,8,67,77,Historical
196,2010,37,154,8,9,62,75,Historical
197,2010,38,157,10,11,72,65,Historical
198,2010,39,81,4,3,31,42,Historical
199,2010,40,200,16,9,74,102,Historical
200,2010,41,209,12,12,83,102,Historical
201,2010,42,189,8,18,66,98,Historical
202,2010,43,186,8,20,68,90,Historical
203,2010,44,188,12,16,56,104,Historical
204,2010,45,213,12,11,74,115,Historical
205,2010,46,206,13,7,68,118,Historical
206,2010,47,192,13,10,63,106,Historical
207,2010,48,25,1,0,10,13,Historical
208,2010,49,178,,,,,Forecast
209,2010,50,210,,,,,Forecast
210,2010,51,212,,,,,Forecast
211,2010,52,224,,,,,Forecast
212,2010,53,37,,,,,Forecast
213,2011,1,200,,,,,Forecast
214,2011,2,181,,,,,Forecast
215,2011,3,251,,,,,Forecast
216,2011,4,243,,,,,Forecast
217,2011,5,250,,,,,Forecast
218,2011,6,243,,,,,Forecast
219,2011,7,201,,,,,Forecast
220,2011,8,207,,,,,Forecast
221,2011,9,159,,,,,Forecast
222,2011,10,196,,,,,Forecast
223,2011,11,200,,,,,Forecast
224,2011,12,166,,,,,Forecast
225,2011,13,201,,,,,Forecast
226,2011,14,181,,,,,Forecast
227,2011,15,183,,,,,Forecast
228,2011,16,181,,,,,Forecast
229,2011,17,152,,,,,Forecast
230,2011,18,174,,,,,Forecast
231,2011,19,178,,,,,Forecast
232,2011,20,179,,,,,Forecast
233,2011,21,160,,,,,Forecast
234,2011,22,155,,,,,Forecast
235,2011,23,157,,,,,Forecast
236,2011,24,136,,,,,Forecast
237,2011,25,148,,,,,Forecast
238,2011,26,137,,,,,Forecast
239,2011,27,127,,,,,Forecast
240,2011,28,122,,,,,Forecast
241,2011,29,95,,,,,Forecast
242,2011,30,93,,,,,Forecast
243,2011,31,63,,,,,Forecast
244,2011,32,67,,,,,Forecast
245,2011,33,82,,,,,Forecast
246,2011,34,79,,,,,Forecast
247,2011,35,160,,,,,Forecast
248,2011,36,151,,,,,Forecast
249,2011,37,158,,,,,Forecast
250,2011,38,162,,,,,Forecast
251,2011,39,107,,,,,Forecast
252,2011,40,183,,,,,Forecast
253,2011,41,195,,,,,Forecast
254,2011,42,190,,,,,Forecast
255,2011,43,184,,,,,Forecast
256,2011,44,192,,,,,Forecast
257,2011,45,202,,,,,Forecast
258,2011,46,207,,,,,Forecast
259,2011,47,202,,,,,Forecast
260,2011,48,90,,,,,Forecast
261,2011,49,191,,,,,Forecast
262,2011,50,206,,,,,Forecast
263,2011,51,202,,,,,Forecast
264,2011,52,235,,,,,Forecast
265,2011,53,31,,,,,Forecast
